temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
1.000000	617.000000	616.000000	797.000000	457	588	Thu Sep  9 11:28:29 2021
0.500000	486.000000	486.000000	617.000000	370	588	Thu Sep  9 11:28:30 2021
0.250000	397.000000	397.000000	486.000000	303	588	Thu Sep  9 11:28:31 2021
0.125000	334.000000	334.000000	397.000000	267	588	Thu Sep  9 11:28:32 2021
0.062500	287.000000	287.000000	334.000000	253	588	Thu Sep  9 11:28:32 2021
0.031250	251.000000	251.000000	287.000000	242	588	Thu Sep  9 11:28:33 2021
0.015625	227.000000	227.000000	251.000000	209	588	Thu Sep  9 11:28:34 2021
0.007812	207.000000	207.000000	227.000000	186	588	Thu Sep  9 11:28:34 2021
0.003906	198.000000	198.000000	207.000000	186	588	Thu Sep  9 11:28:35 2021
0.001953	184.000000	184.000000	198.000000	180	588	Thu Sep  9 11:28:36 2021
0.000977	172.000000	172.000000	184.000000	190	588	Thu Sep  9 11:28:36 2021
0.000488	163.000000	163.000000	172.000000	178	588	Thu Sep  9 11:28:37 2021
0.000244	153.000000	153.000000	163.000000	181	588	Thu Sep  9 11:28:38 2021
0.000122	144.000000	144.000000	153.000000	171	588	Thu Sep  9 11:28:38 2021
0.000061	138.000000	138.000000	144.000000	152	588	Thu Sep  9 11:28:39 2021
0.000031	136.000000	136.000000	138.000000	159	588	Thu Sep  9 11:28:40 2021
0.000015	128.000000	128.000000	136.000000	161	588	Thu Sep  9 11:28:40 2021
0.000008	124.000000	124.000000	128.000000	150	588	Thu Sep  9 11:28:41 2021
0.000004	119.000000	119.000000	124.000000	147	588	Thu Sep  9 11:28:41 2021
0.000002	115.000000	115.000000	119.000000	149	588	Thu Sep  9 11:28:42 2021
0.000001	113.000000	113.000000	115.000000	163	588	Thu Sep  9 11:28:43 2021
0.000000	111.000000	111.000000	113.000000	143	588	Thu Sep  9 11:28:43 2021
0.000000	106.000000	106.000000	111.000000	160	588	Thu Sep  9 11:28:44 2021
0.000000	104.000000	104.000000	106.000000	136	588	Thu Sep  9 11:28:45 2021
0.000000	100.000000	100.000000	104.000000	156	588	Thu Sep  9 11:28:45 2021
0.000000	94.000000	94.000000	100.000000	142	588	Thu Sep  9 11:28:46 2021
0.000000	92.000000	92.000000	94.000000	144	588	Thu Sep  9 11:28:46 2021
0.000000	91.000000	91.000000	92.000000	146	588	Thu Sep  9 11:28:47 2021
0.000000	90.000000	90.000000	91.000000	124	588	Thu Sep  9 11:28:48 2021
0.000000	87.000000	87.000000	90.000000	150	588	Thu Sep  9 11:28:48 2021
0.000000	86.000000	86.000000	87.000000	164	588	Thu Sep  9 11:28:49 2021
0.000000	85.000000	85.000000	86.000000	140	588	Thu Sep  9 11:28:50 2021
0.000000	81.000000	81.000000	85.000000	148	588	Thu Sep  9 11:28:51 2021
0.000000	80.000000	80.000000	81.000000	160	588	Thu Sep  9 11:28:51 2021
0.000000	80.000000	80.000000	80.000000	133	588	Thu Sep  9 11:28:52 2021
